task_id,equipment_id,equipment_name,frequency,task_activity,component_focus,description_check,,,,,,,,,,,
ve-d-1,"5,6,",Vertical Pump,Daily,Check for abnormal noise and vibration,Pump Assembly,Listen for rubbing/grinding; check vibration levels.,"=UPPER(LEFT(B2,2)) & ""-"" & ",,,,,,,,,,
ve-d-2,"5,6,",Vertical Pump,Daily,Check bearing temperature,Bearings/Housing,Hand-feel or monitor gauges (must be within OEM limits).,"UPPER(LEFT(A2,1)) & ""-"" & ",,,,,,,,,,
ve-d-3,"5,6,",Vertical Pump,Daily,Visual check for leaks,Mechanical Seal / Gland Packing,Inspect seal area and gaskets for excessive fluid leakage.,"UPPER(LEFT(C2,1)) & ""-"" & ",,,,,,,,,,
ve-d-4,"5,6,",Vertical Pump,Daily,Check oil level and condition,Bearing Housing (Oil),Verify level (sight glass); check for water contamination/foaming.,"TEXT(COUNTIFS(A$2:A2,A2,B$2:B2,B2,LEFT(C$2:C2,1),LEFT(C2,1)), ""00"")",,,,,,,,,,
ve-w-1,"5,6,",Vertical Pump,Weekly,Inspect external condition,Pump/Motor Exterior,Clean off dirt/debris to ensure proper cooling.,,,,,,,,,,,
ve-w-2,"5,6,",Vertical Pump,Weekly,Check foundation bolt tightness,Baseplate,Visually inspect anchor and hold-down bolts for looseness.,,,,,,,,,,,
ve-e-1,"5,6,",Vertical Pump,Every 15 Days,Manually rotate shaft (if idle),Rotating Assembly,Rotate shaft several turns by hand to coat bearings.,,,,,,,,,,,
ve-m-1,"5,6,",Vertical Pump,Monthly,Check and top up lubrication,Motor Bearings (Grease),Apply specified amount/type of grease.,,,,,,,,,,,
ve-m-2,"5,6,",Vertical Pump,Monthly,Check coupling security,Coupling,Visually check coupling bolts for looseness or wear.,,,,,,,,,,,
ve-q-1,"5,6,",Vertical Pump,Quarterly,Check and correct alignment,Shafts,Use a dial indicator/laser to check pump-to-motor alignment.,,,,,,,,,,,
ve-q-2,"5,6,",Vertical Pump,Quarterly,Analyze vibration signature,Pump/Bearings,Detailed analysis to identify unbalance or bearing defects.,,,,,,,,,,,
ve-q-3,"5,6,",Vertical Pump,Quarterly,Change bearing lubrication oil,Bearing Housing (Oil),Drain old oil completely and refill with specified new oil.,,,,,,,,,,,
ve-h-1,"5,6,",Vertical Pump,Half-Yearly,Check bearing play/clearance,Shaft Bearings,Measure axial and radial clearance (play).,,,,,,,,,,,
ve-h-2,"5,6,",Vertical Pump,Half-Yearly,Inspect exposed surfaces,Shaft/Housing,Apply rust-preventive coating during shutdown.,,,,,,,,,,,
ve-a-1,"5,6,",Vertical Pump,Annually,Complete pump overhaul/inspection,All Internal Parts,Disassemble for comprehensive inspection of internals.,,,,,,,,,,,
ve-a-2,"5,6,",Vertical Pump,Annually,Inspect Impeller and Casing wear,Impeller/Volute,"Check for erosion, corrosion, or pitting damage.",,,,,,,,,,,
ve-a-3,"5,6,",Vertical Pump,Annually,Check Shaft Runout,Shaft,Verify straightness and measure runout against tolerance.,,,,,,,,,,,
ve-o-1,"5,6,",Vertical Pump,On Breakdown,Root Cause Analysis (RCA),Entire Unit,Investigate and document the failure cause.,,,,,,,,,,,
ai-d-1,,Air Compressor,Daily,Check oil level and pressure,Oil System/Gauges,Verify oil level; check working pressure and temperature.,,,,,,,,,,,
ai-d-2,,Air Compressor,Daily,Check intake filter indicator,Air Filter,Check pressure drop indicator for blockage.,,,,,,,,,,,
ai-w-1,,Air Compressor,Weekly,Drain moisture,Air Receiver/Separator,Release accumulated condensation.,,,,,,,,,,,
ai-w-2,,Air Compressor,Weekly,Clean cooler fins,Heat Exchangers,Clean air/oil cooler surfaces.,,,,,,,,,,,
ai-m-1,,Air Compressor,Monthly,Check belt tension,Drive System,Inspect and adjust belt tension (if applicable).,,,,,,,,,,,
ai-q-1,,Air Compressor,Quarterly,Clean or replace air filter element,Air Intake,Remove/replace the primary air filter element.,,,,,,,,,,,
ai-q-2,,Air Compressor,Quarterly,Check safety valve function,Safety Devices,Test relief valve functionality.,,,,,,,,,,,
